,Zip Code,AREALAND,AREAWATR,Population,HU100,NH White,NH Black,NH American Indian,NH Asian,NH Native Hawaiian,NH Other,NHT,Hispanic,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,Pop 65+,PCTPOP65_,Shape_Area
62,20707,28896187,481328,31538,13576,9599,13425,72,2849,15,111,796,4671,30.4,42.6,0.2,9.0,0.0,0.4,2.5,14.8,2998,9.5,48274613.700938895
102,20777,19568844,110664,3314,1111,2692,155,10,274,2,2,79,100,81.2,4.7,0.3,8.3,0.1,0.1,2.4,3.0,428,12.9,32747263.3260612
111,20812,496734,371058,255,100,230,3,0,6,0,0,6,10,90.2,1.2,0.0,2.4,0.0,0.0,2.4,3.9,33,12.9,1437528.62923803
112,20814,13166146,52953,27642,14103,21021,1134,34,2572,20,74,695,2092,76.0,4.1,0.1,9.3,0.1,0.3,2.5,7.6,4508,16.3,21921356.9972624
113,20815,14066048,35097,29082,13850,23357,1256,28,1804,13,90,702,1832,80.3,4.3,0.1,6.2,0.0,0.3,2.4,6.3,6002,20.6,23370129.7352555
114,20816,8975177,1552658,16208,6666,13426,366,14,902,6,61,377,1056,82.8,2.3,0.1,5.6,0.0,0.4,2.3,6.5,2805,17.3,17433960.4420673
115,20817,35923615,186053,36240,14020,26829,1362,32,4252,19,119,962,2665,74.0,3.8,0.1,11.7,0.1,0.3,2.7,7.4,6342,17.5,59869701.8364131
116,20818,2676591,1118503,1962,789,1575,72,5,160,1,11,55,83,80.3,3.7,0.3,8.2,0.1,0.6,2.8,4.2,287,14.6,6287956.43819196
117,20832,26075340,58727,24965,8863,16502,2831,27,2742,3,59,531,2270,66.1,11.3,0.1,11.0,0.0,0.2,2.1,9.1,2492,10.0,43516922.170782104
118,20833,49836780,2565340,7735,2545,5624,687,6,678,0,30,189,521,72.7,8.9,0.1,8.8,0.0,0.4,2.4,6.7,777,10.0,83652295.4567334
119,20837,109773948,8443765,5789,2059,4761,362,22,121,1,4,108,410,82.2,6.3,0.4,2.1,0.0,0.1,1.9,7.1,463,8.0,196616228.691861
120,20838,6997600,21554,259,109,242,4,3,1,0,0,7,2,93.4,1.5,1.2,0.4,0.0,0.0,2.7,0.8,49,18.9,11712724.382886698
121,20839,12690683,41061,214,81,168,21,1,3,0,0,9,12,78.5,9.8,0.5,1.4,0.0,0.0,4.2,5.6,46,21.5,21219551.9804509
122,20841,67289814,2375725,10460,2908,4035,1439,13,3693,2,20,319,939,38.6,13.8,0.1,35.3,0.0,0.2,3.0,9.0,738,7.1,112429320.496097
123,20842,135898668,9035801,1824,781,1542,124,3,19,0,1,39,96,84.5,6.8,0.2,1.0,0.0,0.1,2.1,5.3,307,16.8,241742196.826566
124,20850,36523908,198966,46340,19085,24476,4683,56,10900,16,160,1300,4749,52.8,10.1,0.1,23.5,0.0,0.3,2.8,10.2,6273,13.5,61045874.80996079
125,20851,6147440,2088,14191,5042,5850,1326,52,2142,14,51,325,4431,41.2,9.3,0.4,15.1,0.1,0.4,2.3,31.2,1284,9.0,10218941.559162
126,20852,21555966,97342,40365,20062,23856,2606,67,7966,19,121,986,4744,59.1,6.5,0.2,19.7,0.0,0.3,2.4,11.8,6638,16.4,35954843.2287734
127,20853,23335068,243486,29673,10035,15086,3188,67,3508,10,130,569,7115,50.8,10.7,0.2,11.8,0.0,0.4,1.9,24.0,4706,15.9,39207712.6189372
128,20854,87422942,7215824,49611,17262,34211,2243,19,9015,11,155,1213,2744,69.0,4.5,0.0,18.2,0.0,0.3,2.4,5.5,8759,17.7,156841790.880916
129,20855,33961240,635428,14295,5018,8656,1080,26,2562,8,64,426,1473,60.6,7.6,0.2,17.9,0.1,0.4,3.0,10.3,1968,13.8,57585651.9254046
130,20860,9857358,26973,2396,849,1365,559,3,237,2,5,85,140,57.0,23.3,0.1,9.9,0.1,0.2,3.5,5.8,645,26.9,16457588.5231654
131,20861,9947174,18520,1875,668,1372,179,2,147,1,3,61,110,73.2,9.5,0.1,7.8,0.1,0.2,3.3,5.9,255,13.6,16594892.0951097
132,20862,3029792,15389,343,124,287,13,0,18,0,0,10,15,83.7,3.8,0.0,5.2,0.0,0.0,2.9,4.4,66,19.2,5075293.32064884
133,20866,18304211,618885,13344,4652,3483,5703,30,2402,6,59,374,1287,26.1,42.7,0.2,18.0,0.0,0.4,2.8,9.6,1022,7.7,30544966.280274104
134,20868,5193925,5002,790,250,365,188,3,126,0,3,26,79,46.2,23.8,0.4,15.9,0.0,0.4,3.3,10.0,102,12.9,8650789.46560178
135,20871,53176080,138014,13130,4295,5921,1836,13,3698,8,25,409,1220,45.1,14.0,0.1,28.2,0.1,0.2,3.1,9.3,743,5.7,89051353.1460332
136,20872,54025176,110921,13104,4575,9449,998,37,675,3,14,333,1595,72.1,7.6,0.3,5.2,0.0,0.1,2.5,12.2,1037,7.9,90502788.5972963
137,20874,54952005,3542188,57367,22256,23173,12531,124,9199,19,180,1848,10293,40.4,21.8,0.2,16.0,0.0,0.3,3.2,17.9,3057,5.3,97297744.4280557
138,20876,30193838,148752,25496,8738,8530,5593,56,5192,11,72,855,5187,33.5,21.9,0.2,20.4,0.0,0.3,3.4,20.3,1356,5.3,50605707.795935705
139,20877,14964274,89555,34321,12249,9069,6740,79,4556,13,128,864,12872,26.4,19.6,0.2,13.3,0.0,0.4,2.5,37.5,3648,10.6,25059459.567159
140,20878,56550922,1136465,62446,23155,33068,5658,80,14444,23,150,1739,7284,53.0,9.1,0.1,23.1,0.0,0.2,2.8,11.7,5214,8.3,95953301.4669703
141,20879,19855864,103572,24360,8371,8363,5168,68,3888,10,126,801,5936,34.3,21.2,0.3,16.0,0.0,0.5,3.3,24.4,1468,6.0,33252211.830643103
143,20882,99982538,427611,14063,4654,10837,920,28,854,14,33,318,1059,77.1,6.5,0.2,6.1,0.1,0.2,2.3,7.5,1450,10.3,167584574.82284498
144,20886,12189201,192733,33282,12759,12551,7814,58,3601,14,172,957,8115,37.7,23.5,0.2,10.8,0.0,0.5,2.9,24.4,2954,8.9,20634366.295989603
145,20895,10514230,78545,19054,7475,14038,1206,25,1125,4,75,473,2108,73.7,6.3,0.1,5.9,0.0,0.4,2.5,11.1,3006,15.8,17576852.2723759
148,20901,13946891,69938,34832,12912,14997,8130,39,2717,18,156,909,7866,43.1,23.3,0.1,7.8,0.1,0.4,2.6,22.6,3540,10.2,23255001.3707985
149,20902,19634280,75384,48841,17073,17141,8722,100,4909,30,224,1183,16532,35.1,17.9,0.2,10.1,0.1,0.5,2.4,33.8,5341,10.9,32720407.144509602
150,20903,9335645,4751,23625,7318,2864,6508,39,2365,10,127,389,11323,12.1,27.5,0.2,10.0,0.0,0.5,1.6,47.9,1904,8.1,15496098.8886582
151,20904,35402513,97435,54612,21452,14560,22696,81,7533,34,216,1431,8061,26.7,41.6,0.1,13.8,0.1,0.4,2.6,14.8,8192,15.0,58972003.1545755
152,20905,33328393,555453,18044,5977,8177,4131,40,3144,9,63,571,1909,45.3,22.9,0.2,17.4,0.0,0.3,3.2,10.6,2390,13.2,55612921.4099845
153,20906,31358675,198767,64696,25715,20713,15799,112,7489,32,452,1412,18687,32.0,24.4,0.2,11.6,0.0,0.7,2.2,28.9,12445,19.2,52452456.0817408
154,20910,11796743,29906,37445,19047,18097,10445,70,2642,13,127,1144,4907,48.3,27.9,0.2,7.1,0.0,0.3,3.1,13.1,3649,9.7,19610810.4958854
155,20912,6903313,13926,24807,10257,8432,9230,30,946,14,92,740,5323,34.0,37.2,0.1,3.8,0.1,0.4,3.0,21.5,2053,8.3,11463619.4349861
369,21771,220312876,443148,29563,10200,26831,655,47,442,8,24,432,1124,90.8,2.2,0.2,1.5,0.0,0.1,1.5,3.8,3093,10.5,370121879.92842597
385,21797,112103676,602122,8839,3079,7777,341,19,289,7,11,139,256,88.0,3.9,0.2,3.3,0.1,0.1,1.6,2.9,1071,12.1,188642466.77180502
